Name,Follower,pagerank_score,other_lang,avatar_url,repo_cnt
dgorshkov,0,9.48,Python,https://avatars3.githubusercontent.com/u/20928181?v=4,6
Fruiter,5,9.48,"Jupyter Notebook, Scala, JavaScript",https://avatars0.githubusercontent.com/u/1571308?v=4,24
wenshao,30,28.51,"C++, Python, TypeScript, C, PHP, HTML, Shell, Scala, JavaScript",https://avatars3.githubusercontent.com/u/1166785?v=4,160
VictorZeng,30,9.48,"CSS, Scala, Elixir",https://avatars1.githubusercontent.com/u/9109915?v=4,26
kimmking,30,21.71,"Rust, Kotlin, Groovy, CSS, PHP, Clojure, JavaScript, C++, Python, TeX, Makefile, HTML, Shell, Scala, C#, Lua, Go, Perl, Vue, CoffeeScript, C, TypeScript",https://avatars0.githubusercontent.com/u/807508?v=4,626
Omega-Ariston,20,9.48,"Ada, C++, Assembly, CSS, JavaScript",https://avatars1.githubusercontent.com/u/32405587?v=4,26
neil4dong,17,9.48,"Swift, Scala",https://avatars3.githubusercontent.com/u/16929939?v=4,22
yakolee,30,9.48,,https://avatars1.githubusercontent.com/u/6767054?v=4,4
timandy,14,9.48,"C++, Python, C#, TypeScript, C, Roff, Pascal, HTML, Shell, Ruby, JavaScript, PowerShell",https://avatars0.githubusercontent.com/u/3809541?v=4,144
JoshuaJeme,0,9.48,,https://avatars2.githubusercontent.com/u/1128385?v=4,12
axmanwang,30,9.48,,https://avatars3.githubusercontent.com/u/1586503?v=4,2
lihengming,30,9.48,"Groovy, Shell, CSS, HTML, C, JavaScript",https://avatars3.githubusercontent.com/u/17757549?v=4,42
wuwen5,30,29.87,"Kotlin, Python, TeX, Go, PHP, HTML, Shell, JavaScript",https://avatars2.githubusercontent.com/u/5037807?v=4,134
ptma,5,9.48,"FreeMarker, TypeScript, HTML, C, JavaScript",https://avatars0.githubusercontent.com/u/1761883?v=4,100
CodePlayer,4,9.48,"CSS, Go, PHP, HTML, JavaScript",https://avatars0.githubusercontent.com/u/3793502?v=4,34
bingoko,7,9.48,"Objective-C, Julia, C++, Kotlin, R, Python, Ruby, PLpgSQL, C#, TypeScript, TeX, PHP, HTML, C, Scala, JavaScript",https://avatars3.githubusercontent.com/u/6131965?v=4,146
chen623,0,9.48,TypeScript,https://avatars3.githubusercontent.com/u/28013371?v=4,6
OrDTesters,1,9.48,,https://avatars0.githubusercontent.com/u/44483852?v=4,36
azy2,5,9.48,"Rust, C++, Python, TeX, Emacs Lisp, CSS, Shell, C, JavaScript",https://avatars2.githubusercontent.com/u/6697407?v=4,62
imknown,30,9.48,"Objective-C, HTML, C++, Kotlin, Groovy, Rascal, Python, C#, C, IDL, CSS, Go, Makefile, Shell, Batchfile, Ruby, JavaScript",https://avatars1.githubusercontent.com/u/5681447?v=4,320
qifanyang,2,17.63,"C, CSS, JavaScript",https://avatars3.githubusercontent.com/u/2858765?v=4,32
wxisme,22,9.48,"Python, HTML, C, JavaScript",https://avatars3.githubusercontent.com/u/11460951?v=4,64
yanquanyu,1,9.48,"CSS, Shell, JavaScript",https://avatars2.githubusercontent.com/u/6947841?v=4,28
